date,site,model,lst_forecast,lst_low,lst_high
2026-06-01,Carmel_Forest,Random Forest,31.5227,30.7741,32.2712
2026-06-01,Carmel_Forest,Gradient Boosting,31.4829,28.1561,34.8096
2026-07-01,Carmel_Forest,Random Forest,17.4211,13.3886,21.4537
2026-07-01,Carmel_Forest,Gradient Boosting,20.0472,14.448,25.6464
2026-08-01,Carmel_Forest,Random Forest,32.4854,30.2851,34.6857
2026-08-01,Carmel_Forest,Gradient Boosting,30.7353,26.7992,34.6715
2026-09-01,Carmel_Forest,Random Forest,28.5804,27.5729,29.588
2026-09-01,Carmel_Forest,Gradient Boosting,27.5293,22.3017,32.7568
2026-10-01,Carmel_Forest,Random Forest,16.5652,15.0986,18.0318
2026-10-01,Carmel_Forest,Gradient Boosting,17.813,14.0676,21.5584
2026-11-01,Carmel_Forest,Random Forest,20.4204,18.2901,22.5508
2026-11-01,Carmel_Forest,Gradient Boosting,19.9078,15.5855,24.2301
2026-12-01,Carmel_Forest,Random Forest,18.6672,13.1287,24.2056
2026-12-01,Carmel_Forest,Gradient Boosting,18.3941,15.6279,21.1603
2026-06-01,Haifa_Coastal_Urban,Random Forest,30.6576,28.989,32.3261
2026-06-01,Haifa_Coastal_Urban,Gradient Boosting,30.7906,28.3558,33.2253
2026-07-01,Haifa_Coastal_Urban,Random Forest,17.2131,14.835,19.5912
2026-07-01,Haifa_Coastal_Urban,Gradient Boosting,20.0093,15.3384,24.6803
2026-08-01,Haifa_Coastal_Urban,Random Forest,32.2995,29.9466,34.6525
2026-08-01,Haifa_Coastal_Urban,Gradient Boosting,30.8443,27.226,34.4626
2026-09-01,Haifa_Coastal_Urban,Random Forest,28.2963,27.3093,29.2832
2026-09-01,Haifa_Coastal_Urban,Gradient Boosting,27.868,22.891,32.845
2026-10-01,Haifa_Coastal_Urban,Random Forest,16.9743,15.7827,18.1659
2026-10-01,Haifa_Coastal_Urban,Gradient Boosting,17.9826,14.4497,21.5154
2026-11-01,Haifa_Coastal_Urban,Random Forest,20.5905,18.5939,22.5871
2026-11-01,Haifa_Coastal_Urban,Gradient Boosting,20.3258,16.2364,24.4152
2026-12-01,Haifa_Coastal_Urban,Random Forest,18.9086,13.2567,24.5605
2026-12-01,Haifa_Coastal_Urban,Gradient Boosting,19.2909,16.6619,21.9199
2026-06-01,Hula_Valley_Wetland,Random Forest,36.16,34.6631,37.657
2026-06-01,Hula_Valley_Wetland,Gradient Boosting,35.5739,32.059,39.0888
2026-07-01,Hula_Valley_Wetland,Random Forest,19.151,17.5466,20.7554
2026-07-01,Hula_Valley_Wetland,Gradient Boosting,22.4374,15.9964,28.8784
2026-08-01,Hula_Valley_Wetland,Random Forest,24.6255,19.1903,30.0606
2026-08-01,Hula_Valley_Wetland,Gradient Boosting,28.301,23.6672,32.9349
2026-09-01,Hula_Valley_Wetland,Random Forest,30.1981,28.1847,32.2115
2026-09-01,Hula_Valley_Wetland,Gradient Boosting,29.6389,26.8044,32.4735
2026-10-01,Hula_Valley_Wetland,Random Forest,18.6184,17.8788,19.358
2026-10-01,Hula_Valley_Wetland,Gradient Boosting,19.2443,15.9959,22.4927
2026-11-01,Hula_Valley_Wetland,Random Forest,20.0248,17.3836,22.666
2026-11-01,Hula_Valley_Wetland,Gradient Boosting,17.3729,13.8815,20.8643
2026-12-01,Hula_Valley_Wetland,Random Forest,19.8999,18.1375,21.6622
2026-12-01,Hula_Valley_Wetland,Gradient Boosting,19.3466,16.7312,21.962
2026-06-01,Jezreel_Valley_Agri,Random Forest,37.5729,35.94,39.2057
2026-06-01,Jezreel_Valley_Agri,Gradient Boosting,38.8396,35.4382,42.2411
2026-07-01,Jezreel_Valley_Agri,Random Forest,19.0743,17.9359,20.2128
2026-07-01,Jezreel_Valley_Agri,Gradient Boosting,22.2715,15.6375,28.9054
2026-08-01,Jezreel_Valley_Agri,Random Forest,33.0974,29.4284,36.7663
2026-08-01,Jezreel_Valley_Agri,Gradient Boosting,32.4193,27.4582,37.3804
2026-09-01,Jezreel_Valley_Agri,Random Forest,31.726,28.7944,34.6577
2026-09-01,Jezreel_Valley_Agri,Gradient Boosting,30.2283,25.1043,35.3522
2026-10-01,Jezreel_Valley_Agri,Random Forest,19.0229,18.2013,19.8446
2026-10-01,Jezreel_Valley_Agri,Gradient Boosting,19.3096,15.3511,23.2682
2026-11-01,Jezreel_Valley_Agri,Random Forest,20.4899,18.5269,22.4528
2026-11-01,Jezreel_Valley_Agri,Gradient Boosting,19.5985,15.1628,24.0343
2026-12-01,Jezreel_Valley_Agri,Random Forest,20.0915,18.3828,21.8001
2026-12-01,Jezreel_Valley_Agri,Gradient Boosting,19.0525,15.5882,22.5168
2026-06-01,Jordan_Valley_Arid,Random Forest,37.2976,35.8182,38.777
2026-06-01,Jordan_Valley_Arid,Gradient Boosting,38.0469,33.6054,42.4884
2026-07-01,Jordan_Valley_Arid,Random Forest,22.8787,16.6745,29.0829
2026-07-01,Jordan_Valley_Arid,Gradient Boosting,32.403,25.6362,39.1697
2026-08-01,Jordan_Valley_Arid,Random Forest,33.7341,30.6258,36.8423
2026-08-01,Jordan_Valley_Arid,Gradient Boosting,33.8568,29.6591,38.0546
2026-09-01,Jordan_Valley_Arid,Random Forest,31.3562,28.6102,34.1021
2026-09-01,Jordan_Valley_Arid,Gradient Boosting,30.6154,26.1646,35.0661
2026-10-01,Jordan_Valley_Arid,Random Forest,18.742,18.0383,19.4456
2026-10-01,Jordan_Valley_Arid,Gradient Boosting,19.2724,16.1132,22.4316
2026-11-01,Jordan_Valley_Arid,Random Forest,20.7037,18.5014,22.9059
2026-11-01,Jordan_Valley_Arid,Gradient Boosting,19.89,15.5692,24.2109
2026-12-01,Jordan_Valley_Arid,Random Forest,20.0778,18.3229,21.8327
2026-12-01,Jordan_Valley_Arid,Gradient Boosting,18.9568,15.492,22.4216
2026-06-01,Lower_Galilee_Mixed,Random Forest,36.5655,35.2223,37.9087
2026-06-01,Lower_Galilee_Mixed,Gradient Boosting,35.5545,32.0013,39.1077
2026-07-01,Lower_Galilee_Mixed,Random Forest,17.3686,15.9695,18.7676
2026-07-01,Lower_Galilee_Mixed,Gradient Boosting,20.4288,13.7938,27.0637
2026-08-01,Lower_Galilee_Mixed,Random Forest,25.1683,18.7791,31.5576
2026-08-01,Lower_Galilee_Mixed,Gradient Boosting,29.9974,24.7996,35.1951
2026-09-01,Lower_Galilee_Mixed,Random Forest,30.4341,28.2527,32.6154
2026-09-01,Lower_Galilee_Mixed,Gradient Boosting,29.7251,26.2998,33.1504
2026-10-01,Lower_Galilee_Mixed,Random Forest,17.2386,16.279,18.1983
2026-10-01,Lower_Galilee_Mixed,Gradient Boosting,17.9073,14.2395,21.5751
2026-11-01,Lower_Galilee_Mixed,Random Forest,17.0041,15.1648,18.8434
2026-11-01,Lower_Galilee_Mixed,Gradient Boosting,16.1389,12.0897,20.1882
2026-12-01,Lower_Galilee_Mixed,Random Forest,20.0668,18.2986,21.835
2026-12-01,Lower_Galilee_Mixed,Gradient Boosting,19.2085,15.6445,22.7726
2026-06-01,Nazareth_Urban,Random Forest,35.8735,34.4653,37.2817
2026-06-01,Nazareth_Urban,Gradient Boosting,35.6886,31.4099,39.9673
2026-07-01,Nazareth_Urban,Random Forest,18.1577,15.5035,20.812
2026-07-01,Nazareth_Urban,Gradient Boosting,21.1122,14.4271,27.7974
2026-08-01,Nazareth_Urban,Random Forest,22.6015,16.0931,29.1098
2026-08-01,Nazareth_Urban,Gradient Boosting,27.3316,22.2953,32.3678
2026-09-01,Nazareth_Urban,Random Forest,29.9623,28.1356,31.7889
2026-09-01,Nazareth_Urban,Gradient Boosting,29.2314,26.6574,31.8055
2026-10-01,Nazareth_Urban,Random Forest,17.5216,16.2981,18.745
2026-10-01,Nazareth_Urban,Gradient Boosting,17.5438,14.2566,20.831
2026-11-01,Nazareth_Urban,Random Forest,17.799,15.2413,20.3567
2026-11-01,Nazareth_Urban,Gradient Boosting,17.097,13.4693,20.7246
2026-12-01,Nazareth_Urban,Random Forest,20.4601,18.0492,22.8709
2026-12-01,Nazareth_Urban,Gradient Boosting,20.0554,16.9928,23.118
2026-06-01,Upper_Galilee_Forest,Random Forest,33.1287,31.8328,34.4245
2026-06-01,Upper_Galilee_Forest,Gradient Boosting,31.9764,29.0696,34.8832
2026-07-01,Upper_Galilee_Forest,Random Forest,17.6138,15.0862,20.1413
2026-07-01,Upper_Galilee_Forest,Gradient Boosting,19.8959,14.057,25.7347
2026-08-01,Upper_Galilee_Forest,Random Forest,33.0393,31.0583,35.0203
2026-08-01,Upper_Galilee_Forest,Gradient Boosting,31.3598,27.2267,35.4929
2026-09-01,Upper_Galilee_Forest,Random Forest,29.1392,27.8018,30.4765
2026-09-01,Upper_Galilee_Forest,Gradient Boosting,28.4592,23.0883,33.8301
2026-10-01,Upper_Galilee_Forest,Random Forest,17.0543,15.8918,18.2168
2026-10-01,Upper_Galilee_Forest,Gradient Boosting,17.7107,13.8624,21.559
2026-11-01,Upper_Galilee_Forest,Random Forest,20.5657,18.5217,22.6097
2026-11-01,Upper_Galilee_Forest,Gradient Boosting,19.5927,15.2212,23.9643
2026-12-01,Upper_Galilee_Forest,Random Forest,19.0822,17.3991,20.7652
2026-12-01,Upper_Galilee_Forest,Gradient Boosting,17.3018,14.4208,20.1828
